Summary ,30_03_2020_02-12-52

ACCURACY
Min val, 0.889
Max val, 0.952
Average stdev, 0.0079550315
Stdev of stdev, 0.0036456857

LOSS
Min val, 0.16744839948415757
Max val, 0.3194150731563568
Average stdev, 0.024057683444003664
Stdev of stdev, 0.010766378497493042

PARAMETERS
Min val, 21475
Max val, 2849290
Average stdev, 228403.7099495391
Stdev of stdev, 206527.96628906968
