Summary ,22_03_2020_10-13-47

ACCURACY
Min val, 0.875
Max val, 0.949
Average stdev, 0.0060113724
Stdev of stdev, 0.0029312011

LOSS
Min val, 0.16597585487365724
Max val, 0.41172223615646364
Average stdev, 0.019631633433498743
Stdev of stdev, 0.00903051047767735

PARAMETERS
Min val, 7165
Max val, 2667235
Average stdev, 148546.0178875361
Stdev of stdev, 196778.6829261005
