Summary ,30_03_2020_05-12-54

ACCURACY
Min val, 0.749
Max val, 0.941
Average stdev, 0.024424648
Stdev of stdev, 0.013859555

LOSS
Min val, 0.18998592817783355
Max val, 0.8447419271469117
Average stdev, 0.08849004578077889
Stdev of stdev, 0.04798978610553286

PARAMETERS
Min val, 3190
Max val, 636010
Average stdev, 83009.08546666447
Stdev of stdev, 69997.56290529194
