Summary ,21_03_2020_03-40-55

ACCURACY
Min val, 0.895
Max val, 0.956
Average stdev, 0.005116701
Stdev of stdev, 0.0032010162

LOSS
Min val, 0.1507467951476574
Max val, 0.37092803192138674
Average stdev, 0.017365630399731057
Stdev of stdev, 0.012351043806178345

PARAMETERS
Min val, 25610
Max val, 5825770
Average stdev, 444111.66581585334
Stdev of stdev, 320158.14609182766
