Experiment 2 ,02_04_2020_23-04-04

Data shape and running
input_shape ,"(28, 28, 1)"
output_shape ,10
scaling ,255.0
epochs ,1
max_runtime,1
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.elu
initial_max_nodes ,1
loss_function ,Loss.squared_hinge
optimizer ,Optimizer.SGD

GA parameters
population_size ,1
mating_pool ,1
mutation_rate,1.0

OUTPUT
epoch,accumulated_time,accuracy,loss
1,4.6002631187438965,0.567,1.2095045042037964
2,7.63443660736084,0.906,0.31754765099287036
3,10.68061089515686,0.929,0.2532596400976181
4,13.709784269332886,0.946,0.16328982227295638
5,16.740957498550415,0.952,0.1836162862330675
6,19.760130167007446,0.971,0.10681968398205936
7,22.79630398750305,0.969,0.09521086652576924
8,25.823477029800415,0.964,0.1274186293967068
9,28.849649906158447,0.969,0.1389162733447738
10,31.89782452583313,0.976,0.08326827768050134
11,34.926997661590576,0.974,0.1022520090281032
12,37.96317148208618,0.976,0.09800502720847726
13,41.00634527206421,0.981,0.05748075223714113
14,44.05251979827881,0.974,0.08287447830755264
15,47.07969284057617,0.976,0.0787602904997766
16,50.11286640167236,0.986,0.06006766683515161
17,53.17004108428955,0.98,0.0668250458589755
18,56.20321464538574,0.981,0.07115259814076126
19,59.236388206481934,0.974,0.11029661164805293
20,62.296563386917114,0.981,0.05864368839934468
21,65.30973553657532,0.977,0.08519019888527692
22,68.33190846443176,0.975,0.07967719695251435
23,71.36408185958862,0.983,0.05068332339450717
24,74.3992555141449,0.988,0.04606457229983062
25,77.44142937660217,0.971,0.09937171110883355
26,80.48560333251953,0.975,0.10764371069008484
27,83.51877689361572,0.977,0.09069210835685954
28,86.56395125389099,0.976,0.09372349922172725
29,89.58312392234802,0.989,0.0621109286993742
30,92.60929703712463,0.984,0.06491924276296049
31,95.6734721660614,0.982,0.0804997168648988
32,98.6946451663971,0.983,0.06657549653295428
33,101.75682044029236,0.981,0.08075523657584563
34,104.79599404335022,0.98,0.0617755888919346
35,107.8381679058075,0.987,0.07055101323500276
36,110.8493402004242,0.987,0.0573721955223009
37,113.89251446723938,0.982,0.0893471009582281
38,116.90968680381775,0.983,0.06417280520941131
39,119.92985963821411,0.985,0.07841178708616645
40,122.95203256607056,0.985,0.08004050324670971
41,126.00520706176758,0.986,0.07979381849290804
42,129.05238151550293,0.981,0.09005991897918283
43,132.0725541114807,0.986,0.048941828748211264
44,135.11672830581665,0.989,0.05436356609640643
45,138.1289005279541,0.977,0.12460411455761641
46,141.16407418251038,0.982,0.07361386062204837
47,144.20224809646606,0.983,0.07625593217462301
48,147.24042177200317,0.967,0.13723360193148254
49,150.27259492874146,0.984,0.06772266143281012
50,153.3167691230774,0.986,0.04810314694326371
51,156.34994268417358,0.979,0.12174501396715641
52,159.39411664009094,0.983,0.09859863162506372
53,162.42329025268555,0.982,0.08569401031266898
54,165.46046376228333,0.982,0.06473374427948148
55,168.48463678359985,0.98,0.0972331951931119
56,171.52581071853638,0.983,0.08302352769952268
57,174.56698489189148,0.987,0.07275632739719004
58,177.59915804862976,0.983,0.09057644097320736
59,180.6483325958252,0.982,0.09271212170645594
60,183.70950770378113,0.982,0.09808818767033517
61,186.74768137931824,0.991,0.043114105001557615
62,189.7828550338745,0.99,0.04957039239397273
63,192.80902814865112,0.988,0.06585226087411866
64,195.8542022705078,0.98,0.10562128324992955
65,198.89037609100342,0.988,0.06781842136569322
66,201.90954875946045,0.986,0.0596346488376148
67,204.94272208213806,0.991,0.037681997950654474
68,207.97789573669434,0.981,0.0953515754044056
69,210.99406838417053,0.99,0.04951602961588651
70,214.03424215316772,0.982,0.08091682835388929
71,217.05541491508484,0.986,0.0791933233141899
72,220.0925886631012,0.985,0.11831390408892184
73,223.11676168441772,0.988,0.047591056114993986
74,226.1559352874756,0.985,0.07652052584895865
75,229.20010948181152,0.988,0.05897030750289559
76,232.2302827835083,0.988,0.05882472035381943
77,235.27045679092407,0.989,0.06987322097737342
78,238.30863070487976,0.971,0.17476962298806756
79,241.3768060207367,0.987,0.11116081344895065
80,244.39097833633423,0.984,0.10425635168328881
