Experiment 2 ,17_03_2020_04-12-35

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,39760,1,0.904,0.29413821125030515
1,44530,1,0.904,0.29772232723236086
2,47710,1,0.913,0.289581237077713
3,49169,2,0.905,0.2833706050515175
4,58123,2,0.908,0.2608364865779877
5,48885,2,0.91,0.27234747529029846
6,49169,2,0.918,0.2729544174671173
7,49169,2,0.916,0.2685258677005768
8,51407,3,0.925,0.23862453353405
9,50795,3,0.92,0.23821732819080352
10,62478,3,0.924,0.23868151450157166
11,72282,3,0.931,0.2213474978208542
12,52890,5,0.914,0.25697550642490385
13,51591,4,0.925,0.23154931819438934
14,52890,5,0.905,0.32982962346076966
15,52878,4,0.911,0.261394619345665
16,50604,3,0.922,0.276788019657135
17,51488,3,0.918,0.2576755635738373
18,51488,3,0.917,0.24291955304145812
19,53963,3,0.921,0.24573498868942262
20,53666,4,0.917,0.24271254658699035
21,53215,4,0.9,0.3242127377986908
22,50434,3,0.918,0.24277955079078675
23,56473,3,0.928,0.24223844814300538
24,53383,4,0.907,0.2857611117362976
25,56473,3,0.916,0.243558119058609
26,53888,4,0.925,0.25424390441179273
27,51743,3,0.916,0.24024121069908141
28,71287,3,0.922,0.2630349547863007
29,56767,3,0.925,0.23801426672935486
30,74329,5,0.919,0.26661474752426145
31,73031,3,0.917,0.24566252970695496
32,75269,4,0.917,0.2599869186878204
33,71238,3,0.921,0.23851127016544343
34,74011,3,0.92,0.25674246287345887
35,55650,3,0.904,0.28520853161811827
36,55650,3,0.921,0.22881468057632445
37,71931,4,0.913,0.2906557614207268
38,70315,3,0.915,0.23923117637634278
39,73971,4,0.916,0.26185560584068296
40,75851,5,0.923,0.2565872175693512
41,87619,3,0.923,0.25398063707351687
42,76926,5,0.913,0.27836435317993163
43,73595,3,0.932,0.22641570174694062
44,75619,4,0.918,0.2330754972100258
45,75619,4,0.925,0.2224356873035431
46,79814,4,0.911,0.29295053374767305
47,79814,4,0.915,0.2408507074713707
48,79814,4,0.931,0.21847669625282287
49,79814,4,0.926,0.24806722438335418
50,86526,4,0.931,0.22675669813156127
51,81732,4,0.926,0.23460951107740402
52,84502,3,0.92,0.24479438281059265
53,90922,4,0.921,0.24444873321056365
54,88982,3,0.923,0.26037076842784884
55,90158,3,0.921,0.2533210780620575
56,110229,2,0.918,0.24539198660850525
57,86596,4,0.924,0.23257095515727996
58,87126,4,0.925,0.24970424443483352
59,84806,3,0.933,0.21285624635219574
60,108410,3,0.914,0.26976455211639405
61,108410,3,0.92,0.24893099105358124
62,138758,3,0.923,0.2416195446252823
63,109762,3,0.934,0.22475204837322235
64,167834,3,0.927,0.22135775554180145
65,109762,3,0.933,0.2284286391735077
66,130191,3,0.928,0.22016766035556792
67,110168,4,0.914,0.256458370923996
68,109874,3,0.925,0.21090190768241882
69,126839,3,0.938,0.2061787589788437
70,126839,3,0.934,0.2115471404194832
71,127983,3,0.93,0.2120423904657364
72,204672,3,0.926,0.2327415808439255
73,204672,3,0.928,0.24150409293174743
74,214908,3,0.937,0.20689892435073853
75,195242,2,0.926,0.22212154376506804
76,204270,2,0.925,0.2199755791425705
77,207053,3,0.943,0.19102314192056655
78,239325,2,0.937,0.19705361104011535
79,239325,2,0.929,0.19906513345241547
80,239325,2,0.931,0.20455813670158388
81,241935,2,0.935,0.22944832718372346
82,256242,4,0.936,0.2303657528758049
83,171087,2,0.931,0.2064393688440323
84,256242,4,0.935,0.21986939787864684
85,263348,4,0.929,0.22327115201950073
86,245323,3,0.94,0.19822009301185609
87,221825,2,0.94,0.1812404650449753
88,224575,2,0.921,0.2425395451784134
89,261604,3,0.928,0.22761742812395097
90,192770,2,0.935,0.2266158665418625
91,273781,2,0.929,0.22084652554988862
92,273781,2,0.943,0.19452892237901687
93,261747,3,0.921,0.2437578191757202
94,213786,2,0.922,0.23536355185508728
95,262337,3,0.936,0.1989054162502289
96,274115,2,0.929,0.2285562081336975
97,262573,3,0.937,0.21504921340942382
98,272105,2,0.933,0.22076909333467484
99,260958,3,0.927,0.22429439640045165
100,275790,2,0.942,0.18402564835548402
101,273780,2,0.934,0.19731222188472747
102,298227,2,0.936,0.20928412044048308
103,322223,2,0.938,0.21337951803207397
104,396858,2,0.94,0.19650268352031708
105,392048,2,0.934,0.20872395205497743
106,405199,2,0.944,0.1929243355691433
107,402759,2,0.936,0.20182121855020524
108,405199,2,0.952,0.16576816520094872
109,405199,2,0.935,0.19840647369623185
110,433743,2,0.932,0.21813921844959258
111,375381,2,0.946,0.1920167338848114
112,405199,2,0.933,0.2228056759238243
113,455640,2,0.947,0.18317126500606537
114,489151,2,0.922,0.2109685260951519
115,557052,2,0.937,0.19432870894670487
116,564279,2,0.94,0.17946955132484435
117,739584,2,0.941,0.17798070964217186
118,852375,2,0.939,0.20090287870168685
119,779663,2,0.932,0.21432010054588319
120,779663,2,0.939,0.18742523938417435
121,786895,2,0.938,0.17972584810853004
122,702927,2,0.935,0.22130228245258332
123,745655,2,0.937,0.21367975959181787
124,702111,2,0.928,0.23597567749023438
125,713535,2,0.946,0.19625228011608123
126,989683,2,0.94,0.19127516317367554
127,624255,2,0.937,0.2111293321698904
128,1101085,1,0.941,0.19073442244529723
129,1101085,1,0.939,0.19938379991054536
130,1363435,1,0.947,0.1722000750899315
131,697360,2,0.928,0.24667895704507828
132,1363435,1,0.943,0.1691159833073616
133,1760140,1,0.94,0.19014747539162635
134,1510510,1,0.943,0.1781328752040863
135,1337995,1,0.942,0.18712118473649025
136,1640890,1,0.934,0.20409299126267433
137,1132090,1,0.935,0.1931305003762245
138,1167865,1,0.939,0.1884066613316536
139,2370700,1,0.945,0.1837874253988266
140,2896990,1,0.931,0.2247058852314949
141,2922430,1,0.95,0.18732189548015593
142,3008290,1,0.95,0.17856843316555024
143,3090970,1,0.953,0.16497920705378055
144,2476435,1,0.947,0.1976697469353676
145,2476435,1,0.937,0.20135247853398322
146,1420675,1,0.936,0.21685896456241607
147,1420675,1,0.942,0.17250004249811174
148,1679050,1,0.941,0.19027915857732297
149,2230780,1,0.937,0.19612780268490315
150,1669510,1,0.943,0.18950752592086792
151,2068600,1,0.948,0.1777258741259575
152,1669510,1,0.94,0.18715664798021317
153,1669510,1,0.936,0.17678723150491715
154,1935040,1,0.945,0.1718834072947502
155,1635325,1,0.946,0.18533733549714088
156,1675870,1,0.947,0.1854679178595543
157,1630555,1,0.934,0.17954114851355552
158,1632940,1,0.943,0.19053884690999984
159,1935040,1,0.939,0.18687110644578933
