Experiment 1 ,03_04_2020_01-06-39

Data shape and running
input_shape ,"(28, 28, 1)"
output_shape ,10
scaling ,255.0
epochs ,1
max_runtime,1
dataset_percentage,0.1
dataset,fashion_mnist

Hyper parameters
activation_function ,Activation.elu
initial_max_nodes ,1
loss_function ,Loss.squared_hinge
optimizer ,Optimizer.SGD

GA parameters
population_size ,1
mating_pool ,1
mutation_rate,1.0

OUTPUT
epoch,accumulated_time,accuracy,loss
1,4.465255498886108,0.676,0.7723928451538086
2,7.4704272747039795,0.748,0.6668073239326477
3,10.463598489761353,0.75,0.5901258697509766
4,13.45276927947998,0.796,0.5498150691986085
5,16.472942113876343,0.809,0.47079604434967043
6,19.477113962173462,0.831,0.46213060116767884
7,22.491286277770996,0.82,0.5199171509742737
8,25.481457471847534,0.835,0.4902795763015747
9,28.47562885284424,0.812,0.5025790162086486
10,31.475800275802612,0.865,0.3888866500854492
11,34.4669713973999,0.871,0.38348481714725496
12,37.45114207267761,0.886,0.35548127722740175
13,40.458313941955566,0.867,0.379947984457016
14,43.45148515701294,0.875,0.36009974622726443
15,46.44965672492981,0.878,0.3825601485967636
16,49.44982838630676,0.888,0.3319793125391006
17,52.427998781204224,0.882,0.3865434081554413
18,55.4281702041626,0.87,0.3964909734725952
19,58.42534160614014,0.864,0.3901219472885132
20,61.41351270675659,0.89,0.3385635282993317
21,64.42768502235413,0.876,0.404581029176712
22,67.43085670471191,0.873,0.3990980478525162
23,70.40002655982971,0.889,0.3463751542568207
24,73.39319777488708,0.886,0.3711774230003357
25,76.39436960220337,0.903,0.3554504559636116
26,79.35853886604309,0.909,0.32330210036039353
27,82.3647108078003,0.897,0.3635545552968979
28,85.3638825416565,0.869,0.4741082878112793
29,88.30105066299438,0.892,0.3712472081184387
30,91.2452187538147,0.908,0.3435571934580803
31,94.19938778877258,0.893,0.36001493644714355
32,97.14155626296997,0.91,0.357635143995285
33,100.08672451972961,0.901,0.3750195790529251
34,103.01289176940918,0.9,0.3656807817220688
35,105.95406031608582,0.909,0.3582591671347618
36,108.89122819900513,0.893,0.3813235573768616
37,111.82339572906494,0.909,0.3765462908744812
38,114.7595636844635,0.904,0.39519857776165007
39,117.69373154640198,0.904,0.37210968339443207
40,120.6338996887207,0.9,0.39246295142173765
41,123.56906771659851,0.913,0.3723288453221321
42,126.51123595237732,0.905,0.36828194856643676
43,129.44240355491638,0.909,0.39742593982815744
44,132.38357186317444,0.9,0.39253857342898846
45,135.32073974609375,0.906,0.40336265313625336
46,138.2569077014923,0.896,0.4467082114815712
47,141.19507575035095,0.917,0.3711330965459347
48,144.12824368476868,0.907,0.4450074880123138
49,147.05941104888916,0.897,0.4180471086502075
50,149.9955792427063,0.897,0.4436308709383011
51,152.93874764442444,0.906,0.4393065896779299
52,155.87791562080383,0.898,0.42842591463401913
53,158.81508374214172,0.898,0.46484452033042906
54,161.75025153160095,0.911,0.403062858633697
55,164.68141913414001,0.901,0.4583215299844742
56,167.61758708953857,0.894,0.5076104893088341
57,170.55075478553772,0.912,0.42921970334649084
58,173.47992253303528,0.9,0.4392381764650345
59,176.4240906238556,0.907,0.4350685693025589
60,179.37225937843323,0.878,0.5403251662254334
61,182.30742740631104,0.907,0.39921903505176304
62,185.2485954761505,0.913,0.41667313501238823
63,188.1777629852295,0.906,0.4784706034436822
64,191.1169309616089,0.902,0.44008356750011446
65,194.0500988960266,0.904,0.5337273678332567
66,196.99626755714417,0.905,0.43071335097402336
67,199.93743562698364,0.901,0.5120245242118835
68,202.86860346794128,0.899,0.5011999592781067
69,205.8007709980011,0.895,0.49658365082740785
70,208.74193906784058,0.911,0.45389158570766447
71,211.68910765647888,0.907,0.4322882024347782
72,214.62327551841736,0.909,0.4883798677921295
73,217.554443359375,0.91,0.5374393340349197
74,220.49461150169373,0.909,0.4385068544894457
75,223.42977929115295,0.903,0.5398812159001827
76,226.36694741249084,0.9,0.5324765436649322
77,229.3031153678894,0.91,0.44205882246792316
78,232.24028301239014,0.909,0.4969085344076157
79,235.1844515800476,0.902,0.5439522415399551
80,238.116619348526,0.905,0.5102396142482758
